-1735455201
NPC:()0,0.0,ACTION_NIL
132,40.0,ACTION_RIGHT
133,40.0,ACTION_RIGHT
134,40.0,ACTION_RIGHT
135,40.0,ACTION_RIGHT
136,40.0,ACTION_RIGHT
137,40.0,ACTION_RIGHT
138,40.0,ACTION_UP
139,40.0,ACTION_LEFT
140,40.0,ACTION_UP
141,40.0,ACTION_LEFT
142,40.0,ACTION_LEFT
143,40.0,ACTION_LEFT
144,40.0,ACTION_LEFT
145,40.0,ACTION_LEFT
146,40.0,ACTION_LEFT
147,40.0,ACTION_LEFT
148,40.0,ACTION_LEFT
149,40.0,ACTION_LEFT
150,40.0,ACTION_UP
151,40.0,ACTION_UP
152,40.0,ACTION_RIGHT
153,40.0,ACTION_LEFT
154,40.0,ACTION_DOWN
155,40.0,ACTION_DOWN
156,40.0,ACTION_RIGHT
157,40.0,ACTION_RIGHT
158,40.0,ACTION_RIGHT
159,40.0,ACTION_RIGHT
160,40.0,ACTION_RIGHT
161,40.0,ACTION_RIGHT
162,40.0,ACTION_RIGHT
163,40.0,ACTION_RIGHT
164,40.0,ACTION_RIGHT
165,40.0,ACTION_RIGHT
166,40.0,ACTION_DOWN
167,40.0,ACTION_DOWN
168,40.0,ACTION_LEFT
169,40.0,ACTION_LEFT
170,40.0,ACTION_LEFT
171,40.0,ACTION_LEFT
172,40.0,ACTION_LEFT
173,40.0,ACTION_LEFT
174,40.0,ACTION_LEFT
175,40.0,ACTION_LEFT
176,40.0,ACTION_LEFT
177,40.0,ACTION_LEFT
178,40.0,ACTION_LEFT
179,40.0,ACTION_LEFT
180,40.0,ACTION_LEFT
181,40.0,ACTION_DOWN
182,40.0,ACTION_RIGHT
183,40.0,ACTION_DOWN
184,40.0,ACTION_LEFT
185,40.0,ACTION_UP
186,40.0,ACTION_UP
187,40.0,ACTION_UP
188,40.0,ACTION_UP
189,40.0,ACTION_RIGHT
190,40.0,ACTION_LEFT
191,40.0,ACTION_DOWN
192,40.0,ACTION_DOWN
193,40.0,ACTION_RIGHT
194,40.0,ACTION_RIGHT
195,40.0,ACTION_DOWN
196,40.0,ACTION_DOWN
197,40.0,ACTION_RIGHT
198,40.0,ACTION_RIGHT
199,40.0,ACTION_RIGHT
200,40.0,ACTION_RIGHT
201,40.0,ACTION_RIGHT
202,40.0,ACTION_RIGHT
203,40.0,ACTION_RIGHT
204,40.0,ACTION_RIGHT
205,40.0,ACTION_RIGHT
206,40.0,ACTION_RIGHT
207,40.0,ACTION_RIGHT
208,40.0,ACTION_LEFT
209,40.0,ACTION_LEFT
210,40.0,ACTION_LEFT
211,40.0,ACTION_LEFT
212,40.0,ACTION_LEFT
213,40.0,ACTION_LEFT
214,40.0,ACTION_LEFT
215,40.0,ACTION_LEFT
216,40.0,ACTION_LEFT
217,40.0,ACTION_LEFT
218,40.0,ACTION_LEFT
219,40.0,ACTION_LEFT
220,40.0,ACTION_UP
221,40.0,ACTION_LEFT
222,40.0,ACTION_DOWN
223,40.0,ACTION_RIGHT
224,40.0,ACTION_UP
225,40.0,ACTION_UP
226,40.0,ACTION_LEFT
227,40.0,ACTION_UP
228,40.0,ACTION_UP
229,40.0,ACTION_RIGHT
230,40.0,ACTION_LEFT
231,40.0,ACTION_RIGHT
232,40.0,ACTION_LEFT
233,40.0,ACTION_RIGHT
234,40.0,ACTION_LEFT
235,40.0,ACTION_DOWN
236,40.0,ACTION_DOWN
237,40.0,ACTION_DOWN
238,40.0,ACTION_DOWN
239,40.0,ACTION_RIGHT
240,40.0,ACTION_RIGHT
241,40.0,ACTION_RIGHT
242,40.0,ACTION_RIGHT
243,40.0,ACTION_RIGHT
244,40.0,ACTION_RIGHT
245,40.0,ACTION_RIGHT
246,40.0,ACTION_RIGHT
247,40.0,ACTION_RIGHT
248,40.0,ACTION_RIGHT
249,40.0,ACTION_RIGHT
250,40.0,ACTION_RIGHT
251,40.0,ACTION_RIGHT
252,40.0,ACTION_LEFT
253,40.0,ACTION_LEFT
254,40.0,ACTION_LEFT
255,40.0,ACTION_LEFT
256,40.0,ACTION_LEFT
257,40.0,ACTION_LEFT
258,40.0,ACTION_LEFT
259,40.0,ACTION_LEFT
260,40.0,ACTION_LEFT
261,40.0,ACTION_LEFT
262,40.0,ACTION_LEFT
263,40.0,ACTION_UP
264,40.0,ACTION_UP
265,40.0,ACTION_RIGHT
266,40.0,ACTION_RIGHT
267,40.0,ACTION_LEFT
268,40.0,ACTION_LEFT
269,40.0,ACTION_LEFT
270,40.0,ACTION_DOWN
271,40.0,ACTION_LEFT
272,40.0,ACTION_UP
273,40.0,ACTION_UP
274,40.0,ACTION_UP
275,40.0,ACTION_RIGHT
276,40.0,ACTION_LEFT
277,40.0,ACTION_DOWN
278,40.0,ACTION_DOWN
279,40.0,ACTION_RIGHT
280,40.0,ACTION_RIGHT
281,40.0,ACTION_DOWN
282,40.0,ACTION_DOWN
283,40.0,ACTION_LEFT
284,40.0,ACTION_LEFT
285,40.0,ACTION_UP
286,40.0,ACTION_RIGHT
287,40.0,ACTION_UP
288,40.0,ACTION_LEFT
289,40.0,ACTION_UP
290,40.0,ACTION_UP
291,40.0,ACTION_RIGHT
292,40.0,ACTION_LEFT
293,40.0,ACTION_DOWN
294,40.0,ACTION_DOWN
295,40.0,ACTION_DOWN
296,40.0,ACTION_DOWN
297,40.0,ACTION_RIGHT
298,40.0,ACTION_RIGHT
299,40.0,ACTION_RIGHT
300,40.0,ACTION_RIGHT
301,40.0,ACTION_RIGHT
302,40.0,ACTION_RIGHT
303,40.0,ACTION_RIGHT
304,40.0,ACTION_RIGHT
305,40.0,ACTION_RIGHT
306,40.0,ACTION_RIGHT
307,40.0,ACTION_RIGHT
308,40.0,ACTION_RIGHT
309,40.0,ACTION_RIGHT
310,40.0,ACTION_LEFT
311,40.0,ACTION_RIGHT
312,40.0,ACTION_LEFT
313,40.0,ACTION_LEFT
314,40.0,ACTION_LEFT
315,40.0,ACTION_LEFT
316,40.0,ACTION_LEFT
317,40.0,ACTION_LEFT
318,40.0,ACTION_LEFT
319,40.0,ACTION_LEFT
320,40.0,ACTION_LEFT
321,40.0,ACTION_LEFT
322,40.0,ACTION_LEFT
323,40.0,ACTION_UP
324,40.0,ACTION_UP
325,40.0,ACTION_RIGHT
326,40.0,ACTION_RIGHT
327,40.0,ACTION_RIGHT
328,40.0,ACTION_RIGHT
329,40.0,ACTION_RIGHT
330,40.0,ACTION_RIGHT
331,40.0,ACTION_RIGHT
332,40.0,ACTION_RIGHT
333,40.0,ACTION_RIGHT
334,40.0,ACTION_RIGHT
335,40.0,ACTION_RIGHT
336,40.0,ACTION_UP
337,40.0,ACTION_UP
338,40.0,ACTION_DOWN
339,40.0,ACTION_DOWN
340,40.0,ACTION_LEFT
341,40.0,ACTION_UP
342,40.0,ACTION_UP
343,40.0,ACTION_LEFT
344,40.0,ACTION_LEFT
345,40.0,ACTION_LEFT
346,40.0,ACTION_LEFT
347,40.0,ACTION_LEFT
348,40.0,ACTION_LEFT
349,40.0,ACTION_LEFT
350,40.0,ACTION_LEFT
351,40.0,ACTION_LEFT
352,40.0,ACTION_UP
353,40.0,ACTION_UP
354,40.0,ACTION_RIGHT
355,40.0,ACTION_RIGHT
356,40.0,ACTION_RIGHT
357,40.0,ACTION_RIGHT
358,40.0,ACTION_RIGHT
359,40.0,ACTION_RIGHT
360,40.0,ACTION_RIGHT
361,40.0,ACTION_RIGHT
362,40.0,ACTION_RIGHT
363,40.0,ACTION_RIGHT
364,40.0,ACTION_UP
365,40.0,ACTION_LEFT
366,40.0,ACTION_UP
367,40.0,ACTION_LEFT
368,40.0,ACTION_LEFT
369,40.0,ACTION_LEFT
370,40.0,ACTION_LEFT
371,40.0,ACTION_LEFT
372,40.0,ACTION_LEFT
373,40.0,ACTION_LEFT
374,40.0,ACTION_LEFT
375,40.0,ACTION_LEFT
376,40.0,ACTION_LEFT
377,40.0,ACTION_LEFT
378,40.0,ACTION_LEFT
379,40.0,ACTION_DOWN
380,40.0,ACTION_DOWN
finalScore: 140.0
didWin: 1
